iid;id;gender;wave;round;position;positin1;partner;match;int_corr;samerace;age_o;race_o;pf_o_att;pf_o_sin;pf_o_int;pf_o_fun;pf_o_amb;pf_o_sha;dec_o;attr_o;sinc_o;intel_o;fun_o;amb_o;shar_o;like_o;prob_o;met_o;age;field;field_cd;undergra;race;imprace;income;goal;date;go_out;career;shar4_1;attr2_1;sinc2_1;intel2_1;fun2_1;amb2_1;shar2_1;attr3_1;sinc3_1;fun3_1;intel3_1;amb3_1;attr5_1;sinc5_1;intel5_1;fun5_1;amb5_1;dec;attr;sinc;intel;fun;amb;shar;like;prob;met;match_es;attr1_s;sinc1_s;intel1_s;fun1_s;amb1_s;shar1_s;attr3_s;sinc3_s;intel3_s;fun3_s;amb3_s;satis_2;attr7_2;sinc7_2;intel7_2;fun7_2;amb7_2;shar7_2;attr1_2;sinc1_2;intel1_2;fun1_2;amb1_2;shar1_2;attr4_2;sinc4_2;intel4_2;fun4_2;amb4_2;shar4_2;attr2_2;sinc2_2;intel2_2;fun2_2;amb2_2;shar2_2;attr3_2;sinc3_2;intel3_2;fun3_2;amb3_2;attr5_2;sinc5_2;intel5_2;fun5_2;date_3;attr1_3;sinc1_3;intel1_3;fun1_3;amb1_3;shar1_3;attr7_3;sinc7_3;intel7_3;fun7_3;amb7_3;shar7_3;attr4_3;sinc4_3;intel4_3;fun4_3;amb4_3;shar4_3;attr2_3;sinc2_3;intel2_3;fun2_3;amb2_3;shar2_3;attr3_3;sinc3_3;intel3_3;fun3_3;amb3_3;attr5_3;sinc5_3;intel5_3;fun5_3;amb5_3
1;1;0;1;10;7;;1;0;0.14;0;27;2;35.00;20.00;20.00;20.00;0.00;5.00;0;6.00;8.00;8.00;8.00;8.00;6.00;7.00;4.00;2;21;Law;1.00;;4;2;69,487.00;2;7;1;lawyer;;35.00;20.00;15.00;20.00;5.00;5.00;6;8;8;8;7;;;;;;1;6.00;9.00;7.00;7.00;6.00;5.00;7.00;6.00;2;4.00;;;;;;;;;;;;6;;;;;;;19.44;16.67;13.89;22.22;11.11;16.67;;;;;;;;;;;;;6;7;8;7;6;;;;;0;15.00;20.00;20.00;15.00;15.00;15.00;;;;;;;;;;;;;;;;;;;5;7;7;7;7;;;;;
1;1;0;1;10;7;;2;0;0.54;0;22;2;60.00;0.00;0.00;40.00;0.00;0.00;0;7.00;8.00;10.00;7.00;7.00;5.00;8.00;4.00;2;21;Law;1.00;;4;2;69,487.00;2;7;1;lawyer;;35.00;20.00;15.00;20.00;5.00;5.00;6;8;8;8;7;;;;;;1;7.00;8.00;7.00;8.00;5.00;6.00;7.00;5.00;1;4.00;;;;;;;;;;;;6;;;;;;;19.44;16.67;13.89;22.22;11.11;16.67;;;;;;;;;;;;;6;7;8;7;6;;;;;0;15.00;20.00;20.00;15.00;15.00;15.00;;;;;;;;;;;;;;;;;;;5;7;7;7;7;;;;;
1;1;0;1;10;7;;3;1;0.16;1;22;4;19.00;18.00;19.00;18.00;14.00;12.00;1;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;1;21;Law;1.00;;4;2;69,487.00;2;7;1;lawyer;;35.00;20.00;15.00;20.00;5.00;5.00;6;8;8;8;7;;;;;;1;5.00;8.00;9.00;8.00;5.00;7.00;7.00;;1;4.00;;;;;;;;;;;;6;;;;;;;19.44;16.67;13.89;22.22;11.11;16.67;;;;;;;;;;;;;6;7;8;7;6;;;;;0;15.00;20.00;20.00;15.00;15.00;15.00;;;;;;;;;;;;;;;;;;;5;7;7;7;7;;;;;
1;1;0;1;10;7;;4;1;0.61;0;23;2;30.00;5.00;15.00;40.00;5.00;5.00;1;7.00;8.00;9.00;8.00;9.00;8.00;7.00;7.00;2;21;Law;1.00;;4;2;69,487.00;2;7;1;lawyer;;35.00;20.00;15.00;20.00;5.00;5.00;6;8;8;8;7;;;;;;1;7.00;6.00;8.00;7.00;6.00;8.00;7.00;6.00;2;4.00;;;;;;;;;;;;6;;;;;;;19.44;16.67;13.89;22.22;11.11;16.67;;;;;;;;;;;;;6;7;8;7;6;;;;;0;15.00;20.00;20.00;15.00;15.00;15.00;;;;;;;;;;;;;;;;;;;5;7;7;7;7;;;;;
1;1;0;1;10;7;;5;1;0.21;0;24;3;30.00;10.00;20.00;10.00;10.00;20.00;1;8.00;7.00;9.00;6.00;9.00;7.00;8.00;6.00;2;21;Law;1.00;;4;2;69,487.00;2;7;1;lawyer;;35.00;20.00;15.00;20.00;5.00;5.00;6;8;8;8;7;;;;;;1;5.00;6.00;7.00;7.00;6.00;6.00;6.00;6.00;2;4.00;;;;;;;;;;;;6;;;;;;;19.44;16.67;13.89;22.22;11.11;16.67;;;;;;;;;;;;;6;7;8;7;6;;;;;0;15.00;20.00;20.00;15.00;15.00;15.00;;;;;;;;;;;;;;;;;;;5;7;7;7;7;;;;;
1;1;0;1;10;7;;6;0;0.25;0;25;2;50.00;0.00;30.00;10.00;0.00;10.00;1;7.00;7.00;8.00;8.00;7.00;7.00;7.00;6.00;2;21;Law;1.00;;4;2;69,487.00;2;7;1;lawyer;;35.00;20.00;15.00;20.00;5.00;5.00;6;8;8;8;7;;;;;;0;4.00;9.00;7.00;4.00;6.00;4.00;6.00;5.00;2;4.00;;;;;;;;;;;;6;;;;;;;19.44;16.67;13.89;22.22;11.11;16.67;;;;;;;;;;;;;6;7;8;7;6;;;;;0;15.00;20.00;20.00;15.00;15.00;15.00;;;;;;;;;;;;;;;;;;;5;7;7;7;7;;;;;
1;1;0;1;10;7;;7;0;0.34;0;30;2;35.00;15.00;25.00;10.00;5.00;10.00;0;3.00;6.00;7.00;5.00;8.00;7.00;2.00;1.00;2;21;Law;1.00;;4;2;69,487.00;2;7;1;lawyer;;35.00;20.00;15.00;20.00;5.00;5.00;6;8;8;8;7;;;;;;1;7.00;6.00;7.00;4.00;6.00;7.00;6.00;5.00;2;4.00;;;;;;;;;;;;6;;;;;;;19.44;16.67;13.89;22.22;11.11;16.67;;;;;;;;;;;;;6;7;8;7;6;;;;;0;15.00;20.00;20.00;15.00;15.00;15.00;;;;;;;;;;;;;;;;;;;5;7;7;7;7;;;;;
1;1;0;1;10;7;;8;0;0.50;0;27;2;33.33;11.11;11.11;11.11;11.11;22.22;0;6.00;7.00;5.00;6.00;8.00;6.00;7.00;5.00;2;21;Law;1.00;;4;2;69,487.00;2;7;1;lawyer;;35.00;20.00;15.00;20.00;5.00;5.00;6;8;8;8;7;;;;;;0;4.00;9.00;7.00;6.00;5.00;6.00;6.00;7.00;;4.00;;;;;;;;;;;;6;;;;;;;19.44;16.67;13.89;22.22;11.11;16.67;;;;;;;;;;;;;6;7;8;7;6;;;;;0;15.00;20.00;20.00;15.00;15.00;15.00;;;;;;;;;;;;;;;;;;;5;7;7;7;7;;;;;
1;1;0;1;10;7;;9;1;0.28;0;28;2;50.00;0.00;25.00;10.00;0.00;15.00;1;7.00;7.00;8.00;8.00;8.00;9.00;6.50;8.00;2;21;Law;1.00;;4;2;69,487.00;2;7;1;lawyer;;35.00;20.00;15.00;20.00;5.00;5.00;6;8;8;8;7;;;;;;1;7.00;6.00;8.00;9.00;8.00;8.00;7.00;7.00;2;4.00;;;;;;;;;;;;6;;;;;;;19.44;16.67;13.89;22.22;11.11;16.67;;;;;;;;;;;;;6;7;8;7;6;;;;;0;15.00;20.00;20.00;15.00;15.00;15.00;;;;;;;;;;;;;;;;;;;5;7;7;7;7;;;;;
1;1;0;1;10;7;;10;0;-0.36;0;24;2;100.00;0.00;0.00;0.00;0.00;0.00;0;6.00;6.00;6.00;6.00;6.00;6.00;6.00;6.00;2;21;Law;1.00;;4;2;69,487.00;2;7;1;lawyer;;35.00;20.00;15.00;20.00;5.00;5.00;6;8;8;8;7;;;;;;1;5.00;6.00;6.00;8.00;10.00;8.00;6.00;6.00;2;4.00;;;;;;;;;;;;6;;;;;;;19.44;16.67;13.89;22.22;11.11;16.67;;;;;;;;;;;;;6;7;8;7;6;;;;;0;15.00;20.00;20.00;15.00;15.00;15.00;;;;;;;;;;;;;;;;;;;5;7;7;7;7;;;;;
